holder,position_type,shares_prev,shares_current,percent_out,delta_shares,flag,period_end,filed_date,ref_price
LARSON FINANCIAL GROUP LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
SOUND INCOME STRATEGIES LLC,EQUITY,,0,,14.0,NO_CHANGE,2020-06-30,,
FIRST COMMAND ADVISORY SERVICES INC.,EQUITY,,0,,-100.0,NO_CHANGE,2020-06-30,,
CREATIVE FINANCIAL DESIGNS INC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
NVWM LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ROCKEFELLER CAPITAL MANAGEMENT L.P.,EQUITY,,0,,109.0,NO_CHANGE,2020-06-30,,
ALTSHULER SHAHAM LTD,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
LEGACY FINANCIAL STRATEGIES LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
GLOBAL RETIREMENT PARTNERS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
FOUNDATIONS INVESTMENT ADVISORS LLC,EQUITY,,0,,-41118.0,NO_CHANGE,2020-06-30,,
WALLEYE CAPITAL LLC,EQUITY,,0,,600.0,NO_CHANGE,2020-06-30,,
WALLEYE CAPITAL LLC,EQUITY,,0,,-58858.0,NO_CHANGE,2020-06-30,,
CONCENTRUM WEALTH MANAGEMENT,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
AVANTAX ADVISORY SERVICES INC.,EQUITY,,0,,14693.0,NO_CHANGE,2020-06-30,,
HHM WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
ATOM INVESTORS LP,EQUITY,,0,,128785.0,NO_CHANGE,2020-06-30,,
WEALTHSPIRE ADVISORS LLC,EQUITY,,0,,669.0,NO_CHANGE,2020-06-30,,
GREAT VALLEY ADVISOR GROUP INC.,EQUITY,,0,,13042.0,NO_CHANGE,2020-06-30,,
GOLDEN STATE WEALTH MANAGEMENT LLC,EQUITY,,0,,2.0,NO_CHANGE,2020-06-30,,
TSFG LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
RED DOOR WEALTH MANAGEMENT LLC,EQUITY,,0,,27100.0,NO_CHANGE,2020-06-30,,
ATTICUS WEALTH MANAGEMENT LLC,EQUITY,,0,,-200.0,NO_CHANGE,2020-06-30,,
PACIFICA PARTNERS INC.,EQUITY,,0,,-8.0,NO_CHANGE,2020-06-30,,
GAME PLAN FINANCIAL ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
BANK JULIUS BAER & COMPANY . LTD ZURICH,EQUITY,,0,,-18.0,NO_CHANGE,2020-06-30,,
CRAWFORD FUND MANAGEMENT LLC,EQUITY,,0,,37000.0,NO_CHANGE,2020-06-30,,
JUMP FINANCIAL LLC,EQUITY,,0,,1664400.0,NO_CHANGE,2020-06-30,,
IRON HORSE WEALTH MANAGEMENT LLC,EQUITY,,0,,46.0,NO_CHANGE,2020-06-30,,
MTM INVESTMENT MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
HIGH NOTE WEALTH LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
SYMMETRY INVESTMENTS LP,EQUITY,,0,,60000.0,NO_CHANGE,2020-06-30,,
SAN LUIS WEALTH ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
SOVEREIGN FINANCIAL GROUP INC.,EQUITY,,0,,-10452.0,NO_CHANGE,2020-06-30,,
SPIRE WEALTH MANAGEMENT,EQUITY,,0,,1280.0,NO_CHANGE,2020-06-30,,
OPTIVER HOLDING B.V.,EQUITY,,0,,304.0,NO_CHANGE,2020-06-30,,
XTX TOPCO LTD,EQUITY,,0,,195720.0,NO_CHANGE,2020-06-30,,
BLUE TRUST INC.,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
TRIUMPH CAPITAL MANAGEMENT,EQUITY,,0,,-23180.0,NO_CHANGE,2020-06-30,,
CIBC BANCORP USA INC.,EQUITY,,0,,50879.0,NO_CHANGE,2020-06-30,,
PRIVATE WEALTH ASSET MANAGEMENT LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
AMERITAS ADVISORY SERVICES LLC,EQUITY,,0,,-357.0,NO_CHANGE,2020-06-30,,
STATE OF WYOMING,EQUITY,,0,,59033.0,NO_CHANGE,2020-06-30,,
CORECAP ADVISORS LLC,EQUITY,,0,,0.0,NO_CHANGE,2020-06-30,,
